更新时间: 2026-04-10 09:10:49（北京时间）

更新时间,#genre#
2026-04-10 09:10:49,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
山东卫视,http://58.19.32.207:4022/rtp/239.69.1.69:10054$湖北电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://220.176.218.27:9000/rtp/239.252.220.62:5140$江西电信
辽宁卫视,http://106.116.240.74:9999/rtp/239.254.200.57:8056$河北省电信
辽宁卫视,http://223.10.214.111:6000/rtp/239.1.1.42:8042$山西电信
辽宁卫视,http://58.19.32.207:4022/rtp/239.69.1.71:10066$湖北电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://220.176.218.27:9000/rtp/239.252.219.211:5140$江西电信
黑龙江卫视,http://106.116.240.74:9999/rtp/239.254.200.49:8016$河北省电信
黑龙江卫视,http://223.10.214.111:6000/rtp/239.1.1.37:8037$山西电信
黑龙江卫视,http://58.19.32.207:4022/rtp/239.254.96.138:8902$湖北电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
吉林卫视,http://220.176.218.27:9000/rtp/239.252.220.188:5140$江西电信
吉林卫视,http://106.116.240.74:9999/rtp/239.254.201.15:6339$河北省电信
吉林卫视,http://223.10.214.111:6000/rtp/239.1.1.30:8030$山西电信
吉林卫视,http://58.19.32.207:4022/rtp/239.69.1.212:10914$湖北电信
内蒙古卫视,http://220.176.218.27:9000/rtp/239.252.219.48:5140$江西电信
内蒙古卫视,http://223.10.214.111:6000/rtp/239.1.1.60:8060$山西电信
宁夏卫视,http://223.10.214.111:6000/rtp/239.1.1.56:8056$山西电信
山西卫视,http://220.176.218.27:9000/rtp/239.252.219.27:5140$江西电信
山西卫视,http://223.10.214.111:6000/rtp/239.1.1.1:8001$山西电信
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
陕西卫视,http://220.176.218.27:9000/rtp/239.252.219.105:5140$江西电信
陕西卫视,http://223.10.214.111:6000/rtp/239.1.1.50:8050$山西电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
甘肃卫视,http://220.176.218.27:9000/rtp/239.252.219.140:5140$江西电信
甘肃卫视,http://223.10.214.111:6000/rtp/239.1.1.51:8051$山西电信
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
青海卫视,http://220.176.218.27:9000/rtp/239.252.219.46:5140$江西电信
青海卫视,http://223.10.214.111:6000/rtp/239.1.1.53:8053$山西电信
新疆卫视,http://220.176.218.27:9000/rtp/239.252.219.100:5140$江西电信
新疆卫视,http://223.10.214.111:6000/rtp/239.1.1.59:8059$山西电信
西藏卫视,http://223.10.214.111:6000/rtp/239.1.1.57:8057$山西电信
三沙卫视,http://220.176.218.27:9000/rtp/239.252.219.76:5140$江西电信
三沙卫视,http://106.116.240.74:9999/rtp/239.254.200.165:4120$河北省电信
三沙卫视,http://223.10.214.111:6000/rtp/239.1.1.70:8070$山西电信
兵团卫视,http://220.176.218.27:9000/rtp/239.252.219.107:5140$江西电信
兵团卫视,http://106.116.240.74:9999/rtp/239.254.200.156:4120$河北省电信
兵团卫视,http://223.10.214.111:6000/rtp/239.1.1.58:8058$山西电信
农林卫视,http://223.10.214.111:6000/rtp/239.1.1.73:8073$山西电信
山东教育卫视,http://220.176.218.27:9000/rtp/239.252.219.74:5140$江西电信
山东教育卫视,http://106.116.240.74:9999/rtp/239.254.200.247:4120$河北省电信
山东教育卫视,http://223.10.214.111:6000/rtp/239.1.1.74:8074$山西电信
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育1台,http://220.176.218.27:9000/rtp/239.252.220.198:5140$江西电信
中国教育1台,http://106.116.240.74:9999/rtp/239.254.200.225:6259$河北省电信
中国教育1台,http://223.10.214.111:6000/rtp/239.1.1.65:8065$山西电信
中国教育1台,http://58.19.32.207:4022/rtp/239.69.1.110:10298$湖北电信
中国教育2台,http://220.176.218.27:9000/rtp/239.252.219.73:5140$江西电信
中国教育2台,http://223.10.214.111:6000/rtp/239.1.1.66:8066$山西电信
中国教育4台,http://220.176.218.27:9000/rtp/239.252.219.169:5140$江西电信
中国教育4台,http://106.116.240.74:9999/rtp/239.254.200.227:6261$河北省电信
中国教育4台,http://223.10.214.111:6000/rtp/239.1.1.67:8067$山西电信

数字频道,#genre#
CHC动作电影,http://220.176.218.27:9000/rtp/239.252.219.85:5140$江西电信
CHC动作电影,http://106.116.240.74:9999/rtp/239.254.200.196:7168$河北省电信
CHC动作电影,http://58.19.32.207:4022/rtp/239.69.1.242:11094$湖北电信
CHC家庭影院,http://220.176.218.27:9000/rtp/239.252.219.84:5140$江西电信
CHC家庭影院,http://106.116.240.74:9999/rtp/239.254.200.194:7167$河北省电信
CHC家庭影院,http://58.19.32.207:4022/rtp/239.69.1.243:11100$湖北电信
CHC影迷电影,http://220.176.218.27:9000/rtp/239.252.219.83:5140$江西电信
CHC影迷电影,http://106.116.240.74:9999/rtp/239.254.200.195:7166$河北省电信
CHC影迷电影,http://58.19.32.207:4022/rtp/239.69.1.241:11088$湖北电信
凤凰卫视中文台,http://106.116.240.74:9999/rtp/239.254.201.2:5226$河北省电信
凤凰卫视资讯台,http://106.116.240.74:9999/rtp/239.254.201.3:5227$河北省电信
凤凰卫视电影台,http://106.116.240.74:9999/rtp/239.254.201.1:5214$河北省电信
求索纪录,http://106.116.240.74:9999/rtp/239.254.201.176:7221$河北省电信
金鹰纪实,http://171.8.84.159:8800/rtp/239.16.20.153:11530$河南电信
金鹰纪实,http://220.176.218.27:9000/rtp/239.252.220.155:5140$江西电信
金鹰纪实,http://106.116.240.74:9999/rtp/239.254.200.189:6293$河北省电信
金鹰纪实,http://223.10.214.111:6000/rtp/239.1.1.63:8063$山西电信
金鹰纪实,http://58.19.32.207:4022/rtp/239.69.1.109:10292$湖北电信
纪实科教,http://106.116.240.74:9999/rtp/239.254.200.188:6311$河北省电信
魅力足球,http://171.8.84.159:8800/rtp/239.16.20.113:11130$河南电信
魅力足球,http://223.10.214.111:6000/rtp/239.1.1.75:8075$山西电信
快乐垂钓,http://171.8.84.159:8800/rtp/239.16.20.67:10670$河南电信
快乐垂钓,http://220.176.218.27:9000/rtp/239.252.220.177:5140$江西电信
快乐垂钓,http://223.10.214.111:6000/rtp/239.1.1.86:8086$山西电信
快乐垂钓,http://58.19.32.207:4022/rtp/239.69.1.142:10488$湖北电信
茶频道,http://171.8.84.159:8800/rtp/239.16.20.68:10680$河南电信
茶频道,http://220.176.218.27:9000/rtp/239.252.220.160:5140$江西电信
茶频道,http://106.116.240.74:9999/rtp/239.254.200.228:6258$河北省电信
